n;Grade School;Divide and Conquer;Karatsuba
353;7.292;541.1;405.636
354;7.688;543.017;405.902
355;7.327;541.318;430.064
356;7.765;550.868;438.284
357;7.371;540.072;409.525
358;7.511;551.46;406.466
359;7.359;543.518;415.268
360;8.813;567.253;406.725
361;7.426;544.649;406.679
362;7.514;542.526;406.035
363;7.519;551.233;405.492
364;7.516;540.238;405.925
365;8.101;541.88;408.43
366;7.674;552.972;405.473
367;7.84;540.099;409.659
368;7.699;547.982;407.563
369;7.743;538.319;409.505
370;7.989;541.622;413.121
371;7.881;542.087;431.708
372;7.971;541.721;415.973
373;8.662;538.44;411.332
374;9.033;553.313;417.066
375;8.03;538.571;409.006
376;8.235;538.597;411.16
377;8.13;539.007;412.024
378;8.248;538.856;412.142
379;8.406;538.173;410.386
380;8.341;538.93;410.027
381;10.109;538.188;407.642
382;8.508;540.85;408.309
383;8.654;544.816;408.239
384;8.461;544.701;404.87
385;9.099;550.896;414.897
386;10.719;545.331;407.889
387;8.706;548.824;406.136
388;8.913;548.725;408.824
389;8.703;545.869;409.69
390;8.846;543.703;408.037
391;8.902;544.036;413.656
392;8.902;542.488;406.738
393;8.874;542.839;409.186
394;9.433;544.046;407.978
395;9.059;544.911;407.056
396;9.031;545.599;406.803
397;9.08;569.439;412.095
398;9.251;540.439;422.812
399;9.713;545.433;407.902
400;9.103;542.767;409.883
401;9.143;538.108;411.443
402;9.318;545.403;430.901
403;9.267;543.53;411.704
404;9.55;537.559;413.783
405;9.615;540.654;411.476
406;9.533;539.68;411.547
407;9.513;538.555;413.472
408;9.517;541.603;433.909
409;9.611;538.924;413.441
410;11.63;544.047;410.827
411;9.734;540.979;408.685
412;9.616;543.646;409.176
413;10.817;569.928;434.103
414;9.949;555.476;428.12
415;10.21;542.206;410.928
416;10.03;541.411;406.541
417;11.072;543.857;410.214
418;12.264;563.674;412.947
419;9.951;562.073;430.657
420;13.044;560.52;405.574
421;10.188;541.732;407.091
422;10.249;546.892;406.965
423;10.231;545.318;408.796
424;10.236;543.671;408.131
425;10.253;543.144;409.183
426;10.361;564.895;408.149
427;11.662;540.823;409.642
428;10.419;557.076;408.497
429;10.548;542.641;410.445
430;10.548;549.255;409.518
431;11.435;549.74;409.781
432;10.716;544.195;407.753
433;10.781;560.926;409.919
434;10.833;547.019;410.342
435;10.763;546.649;408.959
436;10.935;543.434;421.402
437;11.962;568.778;407.016
438;11.86;538.803;412.555
439;11.021;542.297;413.747
440;11.348;540.36;415.245
441;12.041;538.566;413.159
442;12.877;538.127;412.736
443;11.262;537.681;413.244
444;11.333;539.697;413.328
445;11.373;540.79;413.641
446;11.391;540.136;415.932
447;11.452;539.918;415.702
448;12.066;549.672;427.089
449;12.189;539.691;415.255
450;11.564;550.987;412.51
451;11.556;538.295;411.873
452;11.616;540.818;413.966
453;11.72;542.789;408.635
454;13.805;545.094;410.649
455;11.851;542.916;407.325
456;11.827;544.989;407.814
457;11.9;556.828;408.072
458;11.853;543.358;408.473
459;12.18;552.316;409.765
460;13.928;580.581;429.115
461;12.64;593.691;434.352
462;12.188;576.002;409.725
463;12.761;544.904;414.638
464;12.349;555.505;410.313
465;12.544;550.825;410.846
466;12.371;544.33;410.572
467;12.83;542.749;408.89
468;13.141;546.752;407.801
469;12.644;548.08;409.382
470;12.503;561.019;413.095
471;12.671;559.217;413.083
472;13.073;550.149;411.475
473;12.835;544.753;409.361
474;13.898;545.041;408.004
475;13.075;546.021;410.528
476;12.966;557.855;410.318
477;12.916;545.811;411.558
478;13.053;543.529;410.988
479;13.364;541.842;412.965
480;14.389;542.26;416.703
481;13.318;544.43;426.263
482;13.371;591.371;419.826
483;13.335;545.246;414.583
484;14.158;543.916;408.633
